Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
Person	60	['Art', 'Book', 'Business', 'Case', 'Child', 'City', 'Community', 'Company', 'Education', 'Family', 'Father', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'Head', 'Health', 'History', 'Home', 'House', 'Idea', 'Information', 'Issue', 'Job', 'Kid', 'Kind', 'Level', 'Lot', 'Man', 'Moment', 'Money', 'Morning', 'Mother', 'Name', 'Office', 'Others', 'Parent', 'Party', 'People', 'Person', 'President', 'Program', 'Question', 'Reason', 'Research', 'Right', 'Room', 'School', 'Story', 'Student', 'Study', 'Teacher', 'Team', 'War', 'Way', 'Woman', 'Work', 'World']	124	['abolitionism', 'abolitionist', 'account', 'activist', 'ancestor', 'ancestry', 'arrival', 'author', 'authority', 'baptism', 'biographer', 'biography', 'birth', 'blessing', 'brother', 'building', 'carpenter', 'cemetery', 'change', 'church', 'citation', 'colonist', 'company', 'counsel', 'couple', 'crew', 'death', 'descent', 'diary', 'discrimination', 'document', 'donation', 'duty', 'earning', 'enemy', 'entry', 'example', 'expedition', 'feeling', 'film', 'friendship', 'gift', 'girl', 'governor', 'grandfather', 'group', 'help', 'historian', 'history', 'home', 'household', 'idea', 'independence', 'individual', 'infant', 'instance', 'intelligence', 'interest', 'judge', 'justice', 'kidnapping', 'kindness', 'knowledge', 'level', 'literacy', 'love', 'mail', 'manumission', 'meeting', 'member', 'memoir', 'mother', 'native', 'neighbor', 'obituary', 'occasion', 'opportunity', 'organization', 'origin', 'overseer', 'party', 'people', 'person', 'petition', 'politician', 'prayer', 'preacher', 'priesthood', 'prison', 'project', 'promise', 'property', 'publisher', 'race', 'reader', 'recollection', 'regiment', 'relation', 'relationship', 'relative', 'residence', 'respect', 'response', 'role', 'school', 'servant', 'sister', 'situation', 'slaveholder', 'society', 'speech', 'state', 'status', 'style', 'surname', 'tavern', 'teacher', 'trader', 'trial', 'uncle', 'violence', 'vote', 'widow', 'wife']	184
President	1	['President']	1	['president']	2
Resource	69	['Back', 'Body', 'Book', 'Car', 'Case', 'Change', 'City', 'Community', 'Country', 'Day', 'End', 'Face', 'Fact', 'Family', 'Father', 'Force', 'Friend', 'Game', 'Government', 'Group', 'Hand', 'History', 'Home', 'Hour', 'House', 'Idea', 'Information', 'Issue', 'Job', 'Kid', 'Law', 'Level', 'Life', 'Lot', 'Loveseat', 'Man', 'Member', 'Moment', 'Money', 'Morning', 'Night', 'Office', 'Part', 'Party', 'People', 'Person', 'Place', 'Point', 'Power', 'President', 'Question', 'Reason', 'Research', 'Result', 'Right', 'Side', 'Story', 'Study', 'System', 'Team', 'Time', 'War', 'Water', 'Way', 'Week', 'Word', 'Work', 'World', 'Year']	65	['abolition', 'activist', 'anniversary', 'arrival', 'arter', 'behalf', 'chef', 'church', 'circumstance', 'contract', 'controversy', 'damage', 'duty', 'editor', 'effect', 'effort', 'enslavement', 'escape', 'exhibit', 'expedition', 'food', 'foot', 'genius', 'gospel', 'governor', 'half', 'head', 'hero', 'idea', 'image', 'instruction', 'kindness', 'knowledge', 'list', 'loss', 'manner', 'marriage', 'material', 'mean', 'merchant', 'mission', 'obituary', 'overseer', 'pair', 'party', 'permission', 'piece', 'politician', 'portion', 'possession', 'project', 'public', 'reputation', 'resource', 'result', 'return', 'spring', 'statement', 'testimony', 'thought', 'use', 'view', 'vote', 'water', 'year']	134
Office	2	['Office', 'President']	1	['office']	3
Politician	2	['Government', 'President']	3	['governor', 'politic', 'politician']	5
Animal	2	['Life', 'Others']	2	['life', 'reproduction']	4
City	9	['City', 'Country', 'Government', 'Home', 'Others', 'People', 'Place', 'State', 'World']	10	['coast', 'country', 'homeland', 'land', 'location', 'nation', 'origin', 'region', 'settlement', 'state']	19
Course	7	['Education', 'Others', 'Result', 'School', 'Student', 'Study', 'Teacher']	4	['course', 'ed', 'student', 'university']	11
Entity	27	['Area', 'Case', 'Change', 'Education', 'End', 'Force', 'Hour', 'Information', 'Issue', 'Kind', 'Level', 'Life', 'Lot', 'Money', 'Name', 'Others', 'Power', 'Question', 'Reason', 'Right', 'Service', 'Side', 'State', 'War', 'Way', 'Word', 'Year']	14	['association', 'background', 'branch', 'charge', 'condition', 'debt', 'enemy', 'exchange', 'honor', 'influence', 'issue', 'lack', 'medium', 'supporter']	41
Gender	9	['Family', 'Girl', 'Guy', 'Man', 'Others', 'Parent', 'People', 'Person', 'Woman']	3	['actor', 'baby', 'individual']	12
Group	4	['Community', 'Group', 'Member', 'Others']	2	['group', 'majority']	6
Human	18	['Back', 'Body', 'Child', 'Eye', 'Face', 'Father', 'Girl', 'Guy', 'Hand', 'Head', 'Kid', 'Man', 'Mother', 'Others', 'Parent', 'Power', 'Right', 'Woman']	4	['life', 'manumission', 'right', 'woman']	22
Location	19	['Business', 'Community', 'Company', 'Guy', 'History', 'Home', 'Job', 'Moment', 'Others', 'Party', 'Person', 'Place', 'Story', 'Study', 'Team', 'War', 'Water', 'Way', 'Work']	29	['activism', 'arrest', 'artist', 'baptism', 'branch', 'church', 'estate', 'expedition', 'guard', 'guest', 'kidnapping', 'location', 'meeting', 'memorial', 'monument', 'party', 'plaque', 'play', 'resident', 'river', 'scene', 'seamstress', 'situation', 'speech', 'statue', 'tavern', 'tour', 'village', 'violence']	48
Manufacturer	6	['Car', 'Couch', 'Loveseat', 'Others', 'Part', 'Sofa']	1	['carriage']	7
Object	7	['Force', 'Hand', 'Others', 'Part', 'Power', 'Side', 'War']	1	['desire']	8
Occupation	5	['Man', 'Others', 'People', 'Woman', 'Work']	1	['preacher']	6
Provider	3	['Others', 'Program', 'Service']	2	['assistance', 'service']	5
Service	7	['Business', 'Others', 'Part', 'People', 'Program', 'Service', 'System']	3	['church', 'congregation', 'service']	10
Student	9	['Education', 'Information', 'Kind', 'Others', 'Result', 'School', 'Student', 'Study', 'Teacher']	6	['class', 'school', 'student', 'subject', 'teacher', 'university']	15
University	4	['Education', 'Others', 'Student', 'Study']	3	['institution', 'student', 'university']	7
Major	1	['Student']	1	['student']	2
Professor	3	['Information', 'Student', 'Study']	2	['professor', 'university']	5
Subject	12	['Case', 'Education', 'Fact', 'Idea', 'Information', 'Issue', 'Research', 'School', 'Student', 'Study', 'Teacher', 'Way']	10	['biographer', 'biography', 'controversy', 'desire', 'opportunity', 'professor', 'school', 'study', 'subject', 'teacher']	22
Furniture	6	['Couch', 'Home', 'Loveseat', 'Office', 'Room', 'Sofa']	3	['household', 'office', 'room']	9
Size	5	['Couch', 'Eye', 'Loveseat', 'Room', 'Sofa']	2	['appearance', 'clothing']	7
Style	4	['Art', 'Couch', 'Loveseat', 'Sofa']	2	['art', 'style']	6
Event	14	['Community', 'Day', 'End', 'History', 'Idea', 'Minute', 'Moment', 'Party', 'Reason', 'Result', 'Thing', 'Time', 'War', 'Year']	12	['cause', 'chance', 'change', 'church', 'decade', 'end', 'event', 'guest', 'period', 'scene', 'witness', 'year']	26
Hour	4	['Day', 'Hour', 'Minute', 'Week']	1	['hour']	5
Time	11	['Day', 'End', 'Hour', 'Minute', 'Moment', 'Morning', 'Night', 'Party', 'Problem', 'Time', 'Work']	4	['church', 'prayer', 'situation', 'study']	15
TimePeriod	5	['History', 'Hour', 'Minute', 'Time', 'War']	2	['history', 'time']	7
Timeperiod	6	['Minute', 'Month', 'Morning', 'Night', 'Week', 'Year']	2	['decade', 'hour']	8
Building	5	['Home', 'House', 'Lot', 'Office', 'Room']	3	['building', 'residence', 'room']	8
Department	4	['Business', 'Government', 'Office', 'School']	4	['officer', 'overseer', 'professor', 'university']	8
Employee	4	['Business', 'Company', 'Office', 'Work']	2	['office', 'work']	6
Equipment	1	['Office']	1	['guard']	2
Manager	2	['Business', 'Office']	1	['project']	3
Nonnegativeinteger	11	['City', 'Couch', 'Country', 'Girl', 'Hand', 'Man', 'Office', 'Parent', 'Person', 'Sofa', 'Woman']	2	['ability', 'servant']	13
Role	5	['Community', 'Company', 'Group', 'Office', 'Team']	7	['crew', 'militia', 'permission', 'project', 'role', 'society', 'trading']	12
Task	3	['Office', 'Team', 'Work']	3	['ability', 'plan', 'task']	6
Worker	2	['Office', 'Work']	1	['worker']	3
Article	1	['Law']	3	['article', 'newspaper', 'press']	4
Case	2	['Case', 'Law']	5	['case', 'court', 'courthouse', 'justice', 'trial']	7
Court	1	['Law']	4	['court', 'justice', 'law', 'lawyer']	5
CourtCase	1	['Law']	1	['court']	2
Gyear	4	['Book', 'Car', 'Company', 'Law']	2	['carriage', 'decade']	6
Judge	2	['Case', 'Law']	5	['court', 'courthouse', 'judge', 'justice', 'law']	7
Jurisdiction	2	['Law', 'Right']	1	['court']	3
Lawyer	2	['Case', 'Law']	5	['court', 'courthouse', 'justice', 'law', 'lawyer']	7
Class	15	['Business', 'Eye', 'Face', 'Hand', 'Head', 'Health', 'History', 'Information', 'Law', 'Man', 'Money', 'School', 'Side', 'Way', 'Week']	11	['baptism', 'camp', 'cave', 'class', 'cotton', 'ground', 'law', 'loss', 'punishment', 'resource', 'trader']	26
Day	6	['Day', 'Hour', 'Morning', 'Night', 'Week', 'Year']	1	['day']	7
Star	1	['Night']	1	['star']	2
Thing	22	['Change', 'End', 'Fact', 'Force', 'Group', 'History', 'Issue', 'Kind', 'Level', 'Moment', 'Night', 'Part', 'Power', 'Problem', 'Reason', 'Research', 'Side', 'Thing', 'Time', 'War', 'Woman', 'World']	18	['belief', 'black', 'desire', 'detail', 'end', 'half', 'instance', 'merchant', 'name', 'origin', 'owner', 'part', 'piece', 'plantation', 'support', 'theme', 'thing', 'writing']	40
Weather	2	['Day', 'Night']	1	['spring']	3
Anyuri	4	['Fact', 'Information', 'Moment', 'Part']	3	['comment', 'domain', 'website']	7
Period	4	['Art', 'History', 'Hour', 'Moment']	1	['period']	5
LegalCase	1	['Case']	1	['judge']	2
Party	2	['Case', 'Party']	2	['party', 'politic']	4
Status	2	['Case', 'Issue']	2	['request', 'status']	4
BodyPart	3	['Body', 'Eye', 'Head']	1	['arter']	4
Eye	3	['Eye', 'Face', 'Head']	1	['eye']	4
Face	2	['Face', 'Head']	1	['face']	3
Head	2	['Body', 'Head']	1	['head']	3
Company	6	['Business', 'Chair', 'Company', 'Job', 'Work', 'chair']	2	['company', 'work']	8
Currency	2	['Country', 'Money']	2	['earning', 'money']	4
Double	10	['Area', 'Eye', 'Job', 'Line', 'Money', 'Place', 'Point', 'Thing', 'Water', 'Way']	9	['donation', 'mean', 'nation', 'point', 'price', 'river', 'state', 'value', 'vessel']	19
Money	1	['Money']	1	['money']	2
Transaction	1	['Money']	1	['money']	2
Literal	2	['Money', 'Name']	1	['year']	3
Property	7	['Hour', 'Kind', 'Lot', 'Right', 'Thing', 'Way', 'Word']	4	['damage', 'property', 'relationship', 'slaveholder']	11
Teacher	5	['Education', 'Kind', 'School', 'Study', 'Teacher']	3	['class', 'school', 'teacher']	8
Langstring	8	['Game', 'Issue', 'Kid', 'Problem', 'Room', 'Thing', 'War', 'Way']	3	['material', 'prisoner', 'trader']	11
Parent	6	['Child', 'Family', 'Father', 'Girl', 'Kid', 'Parent']	2	['mother', 'parent']	8
Pet	2	['Girl', 'Kid']	1	['boy']	3
School	6	['Child', 'Education', 'Girl', 'Kid', 'School', 'Teacher']	4	['girl', 'institution', 'society', 'teacher']	10
Sport	2	['Kid', 'Team']	1	['boy']	3
Activity	5	['Community', 'Day', 'Morning', 'Result', 'Water']	3	['activity', 'difficulty', 'vote']	8
Meal	1	['Morning']	2	['dinner', 'meal']	3
Child	4	['Child', 'Family', 'Mother', 'Parent']	2	['mother', 'parent']	6
Mother	3	['Mother', 'Parent', 'Woman']	2	['birth', 'mother']	5
Woman	6	['Family', 'Father', 'Man', 'Mother', 'Parent', 'Woman']	3	['mother', 'widow', 'woman']	9
BirthDate	1	['Family']	1	['birth']	2
Family	1	['Family']	1	['society']	2
Man	5	['Family', 'Father', 'Man', 'Parent', 'Woman']	2	['man', 'widow']	7
Member	6	['Community', 'Family', 'Government', 'Group', 'Member', 'Team']	4	['community', 'congregation', 'legislature', 'militia']	10
Language	4	['Country', 'Program', 'Word', 'World']	5	['homeland', 'language', 'literacy', 'native', 'text']	9
Component	3	['Air', 'Part', 'System']	1	['system']	4
Author	6	['Book', 'Idea', 'Information', 'Program', 'Research', 'Story']	17	['audiobook', 'author', 'autobiography', 'bibliography', 'biography', 'book', 'example', 'information', 'literature', 'manuscript', 'page', 'poem', 'preface', 'report', 'story', 'tale', 'text']	23
Field	2	['Job', 'Research']	2	['research', 'skill']	4
FieldOfStudy	1	['Research']	1	['scholar']	2
Institution	7	['Community', 'Education', 'Research', 'Right', 'School', 'Study', 'Teacher']	5	['institution', 'researcher', 'scholar', 'society', 'teacher']	12
Organization	11	['Book', 'Child', 'Education', 'Guy', 'Job', 'Member', 'Program', 'Research', 'Team', 'Work', 'World']	9	['donation', 'island', 'member', 'missionary', 'official', 'organization', 'school', 'supporter', 'worker']	20
Product	3	['Business', 'Company', 'Research']	7	['merchant', 'price', 'purchase', 'review', 'shop', 'store', 'trade']	10
Publication	2	['Research', 'Study']	7	['author', 'editor', 'historian', 'press', 'publication', 'publisher', 'research']	9
Research	2	['Research', 'Study']	1	['research']	3
Researcher	2	['Research', 'Study']	3	['research', 'researcher', 'study']	5
Topic	4	['Information', 'Question', 'Research', 'Study']	3	['conversation', 'editor', 'speaker']	7
Employer	3	['Business', 'Job', 'Work']	1	['servant']	4
Job	4	['Guy', 'Job', 'Man', 'Work']	1	['work']	5
Position	4	['Government', 'Hand', 'Job', 'Work']	4	['authority', 'organization', 'position', 'president']	8
Skill	2	['Job', 'Level']	4	['practice', 'seamstress', 'skill', 'website']	6
Point	3	['Line', 'Point', 'Way']	2	['line', 'point']	5
Area	3	['Area', 'House', 'World']	1	['area']	4
AreaUnit	1	['Area']	1	['acre']	2
Unit	2	['Area', 'Power']	4	['conversion', 'resource', 'unit', 'volume']	6
Interest	2	['Community', 'Friend']	1	['interest']	3
Genre	4	['Art', 'Book', 'Game', 'Story']	5	['artist', 'film', 'literature', 'song', 'story']	9
Publisher	2	['Book', 'Game']	4	['audiobook', 'isbn', 'obituary', 'publisher']	6
Year	4	['Game', 'Month', 'Week', 'Year']	1	['year']	5
Action	4	['Idea', 'Reason', 'Result', 'Right']	4	['agent', 'mission', 'permission', 'respect']	8
Argument	1	['Reason']	1	['argument']	2
Reason	2	['Reason', 'War']	1	['arrest']	3
Statement	2	['Fact', 'Reason']	2	['statement', 'truth']	4
Character	2	['History', 'Story']	4	['character', 'scene', 'story', 'tale']	6
HistoricalEvent	1	['History']	1	['history']	2
HistoricalPeriod	1	['History']	1	['period']	2
String	5	['Couch', 'Eye', 'Right', 'Side', 'Sofa']	3	['issue', 'request', 'struggle']	8
Data	1	['Information']	1	['information']	2
Document	2	['Information', 'Year']	2	['document', 'introduction']	4
Fact	2	['Fact', 'Information']	1	['fact']	3
Information	1	['Information']	1	['information']	2
Knowledge	1	['Information']	1	['knowledge']	2
Medium	2	['Art', 'Information']	3	['information', 'medium', 'painting']	5
Source	5	['Fact', 'Information', 'Power', 'Question', 'Water']	1	['knowledge']	6
Address	6	['Child', 'Company', 'Home', 'House', 'Person', 'Place']	1	['address']	7
PostalAddress	2	['Person', 'Place']	1	['church']	3
Setting	1	['Story']	1	['tale']	2
Story	1	['Story']	2	['story', 'tale']	3
Theme	2	['Party', 'Story']	3	['party', 'tale', 'theme']	5
House	3	['Home', 'House', 'World']	2	['home', 'neighbor']	5
Island	1	['World']	1	['island']	2
Ocean	1	['World']	1	['coast']	2
Population	1	['World']	2	['homeland', 'population']	3
Religion	1	['World']	2	['pilgrimage', 'priesthood']	3
River	1	['World']	1	['river']	2
Sea	1	['World']	1	['sea']	2
World	1	['World']	1	['world']	2
Name	3	['Name', 'Team', 'Woman']	1	['name']	4
Type	3	['Couch', 'Place', 'Water']	1	['aid']	4
Individual	2	['Group', 'Power']	9	['attempt', 'authority', 'condition', 'discrimination', 'favor', 'individual', 'marriage', 'society', 'strength']	11
RoomType	1	['Room']	1	['home']	2
Life	2	['Life', 'Water']	1	['life']	3
Recipient	1	['Water']	2	['aid', 'reward']	3
State	5	['Change', 'City', 'Government', 'State', 'Water']	4	['county', 'governor', 'land', 'state']	9
Use	1	['Water']	1	['use']	2
Water	1	['Water']	1	['water']	2
WaterSource	1	['Water']	1	['water']	2
Owner	2	['Business', 'House']	4	['domain', 'estate', 'home', 'owner']	6
Price	2	['House', 'Service']	2	['price', 'trade']	4
Category	2	['Part', 'Work']	2	['merchant', 'shop']	4
Part	2	['Part', 'System']	2	['introduction', 'part']	4
Process	5	['Change', 'Education', 'End', 'Part', 'Result']	1	['process']	6
Whole	1	['Part']	1	['portion']	2
Seq	1	['Couch']	1	['jury']	2
Power	1	['Power']	1	['hero']	2
Father	2	['Father', 'Parent']	1	['birth']	3
Actor	1	['War']	4	['actor', 'controversy', 'film', 'play']	5
Agent	6	['Change', 'Force', 'Idea', 'Result', 'Right', 'War']	5	['agent', 'judge', 'kidnapping', 'mission', 'missionary']	11
Battle	1	['War']	1	['battle']	2
Cause	3	['Change', 'Problem', 'War']	5	['cause', 'issue', 'rebel', 'rebellion', 'suffering']	8
Combatant	1	['War']	1	['battle']	2
DateTime	4	['Change', 'Party', 'Time', 'War']	1	['violence']	5
Nation	1	['War']	1	['nation']	2
Outcome	1	['War']	2	['decision', 'rebellion']	3
Result	3	['Result', 'Study', 'War']	1	['result']	4
Soldier	1	['War']	2	['soldier', 'troop']	3
War	1	['War']	2	['soldier', 'veteran']	3
Weapon	1	['War']	3	['militia', 'rebel', 'soldier']	4
Study	1	['Study']	1	['study']	2
TimeInterval	1	['Time']	1	['end']	2
Date	2	['Month', 'Year']	1	['autobiography']	3
Number	2	['Month', 'Number']	1	['trading']	3
Hardware	1	['System']	1	['system']	2
Objective	1	['System']	1	['attempt']	2
Software	1	['System']	2	['system', 'version']	3
System	1	['System']	2	['principle', 'system']	3
Birth	1	['Life']	1	['birth']	2
Death	1	['Life']	1	['death']	2
Environment	1	['Life']	1	['agent']	2
Girl	1	['Girl']	1	['girl']	2
Home	1	['Home']	1	['home']	2
Resident	1	['Home']	1	['resident']	2
Artist	1	['Art']	4	['art', 'artist', 'painting', 'song']	5
Artwork	1	['Art']	1	['art']	2
Creator	2	['Art', 'Idea']	2	['information', 'statue']	4
Painting	1	['Art']	1	['painting']	2
Comment	1	['Community']	2	['comment', 'issue']	3
Community	1	['Community']	1	['community']	2
Change	2	['Change', 'Force']	1	['change']	3
ChangeType	1	['Change']	1	['change']	2
Impact	2	['Change', 'Problem']	2	['circumstance', 'risk']	4
Word	1	['Word']	1	['word']	2
Destination	1	['Way']	4	['passenger', 'pilgrimage', 'tour', 'travel']	5
Road	1	['Way']	1	['road']	2
Customer	2	['Business', 'Service']	3	['purchase', 'sale', 'service']	5
Market	1	['Business']	1	['trading']	2
Supplier	1	['Business']	1	['supply']	2
Organisation	2	['Business', 'Member']	1	['activist']	3
Context	1	['Problem']	1	['symbol']	2
Effect	1	['Problem']	1	['effect']	2
Situation	1	['Problem']	1	['situation']	2
FacialFeature	1	['Face']	1	['face']	2
Arm	2	['Body', 'Hand']	1	['body']	3
Torso	1	['Body']	1	['body']	2
Line	1	['Line']	1	['line']	2
Shape	2	['Eye', 'Line']	3	['appearance', 'eye', 'figure']	5
Item	1	['People']	8	['auction', 'collection', 'exchange', 'exhibit', 'list', 'order', 'sale', 'total']	9
Vehicle	1	['Car']	5	['carriage', 'crew', 'passenger', 'transportation', 'wagon']	6
Book	1	['Book']	11	['author', 'autobiography', 'bibliography', 'biographer', 'book', 'diary', 'example', 'isbn', 'literature', 'reader', 'tale']	12
Issue	1	['Issue']	2	['activism', 'issue']	3
User	3	['Issue', 'Level', 'Question']	4	['account', 'permission', 'review', 'support']	7
Disease	3	['Back', 'Eye', 'Health']	3	['disease', 'health', 'treatment']	6
Doctor	1	['Health']	2	['condition', 'doctor']	3
Hospital	1	['Health']	2	['doctor', 'physician']	3
MedicalCondition	1	['Health']	1	['condition']	2
Patient	1	['Health']	2	['health', 'physician']	3
Symptom	1	['Health']	2	['condition', 'health']	3
Treatment	2	['Eye', 'Health']	3	['condition', 'health', 'treatment']	5
Classroom	1	['School']	1	['school']	2
Response	1	['Question']	2	['response', 'suffering']	3
Feature	2	['City', 'State']	3	['island', 'river', 'version']	5
Branch	1	['Government']	1	['branch']	2
Government	1	['Government']	1	['politic']	2
Official	1	['Government']	1	['official']	2
PoliticalParty	1	['Government']	1	['politician']	2
Force	1	['Force']	1	['force']	2
Injury	1	['Back']	1	['injury']	2
Pain	1	['Back']	1	['pain']	2
Authority	1	['Right']	2	['authority', 'punishment']	3
LegalRight	1	['Right']	1	['right']	2
LegalSystem	1	['Right']	1	['justice']	2
Right	1	['Right']	1	['right']	2
End	1	['End']	1	['end']	2
Project	1	['Team']	4	['carpenter', 'project', 'research', 'researcher']	5
Degree	2	['Education', 'Teacher']	1	['teacher']	3
EducationalInstitution	1	['Education']	1	['ed']	2
Consumer	1	['Service']	1	['service']	2
ServiceProvider	1	['Service']	1	['service']	2
Level	1	['Level']	2	['independence', 'level']	3
Idea	1	['Idea']	1	['idea']	2
Auction	1	['Lot']	1	['auction']	2
Guest	1	['Party']	2	['guest', 'wedding']	3
